City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,72,100,13.8,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,78.33,76,11,13.53,few clouds
2,Bengkulu,ID,-3.8004,102.2655,73.9,89,100,3.53,overcast clouds
3,Klaksvik,FO,62.2266,-6.589,43.72,90,85,18.28,overcast clouds
4,Dolores,AR,-36.3132,-57.6792,86.2,22,100,18.88,overcast clouds
5,Paamiut,GL,61.994,-49.6678,9.64,61,100,8.52,overcast clouds
6,Vaini,TO,-21.2,-175.2,78.96,83,75,8.05,broken clouds
7,Jamestown,US,42.097,-79.2353,57.02,67,100,5.75,light rain
8,New Norfolk,AU,-42.7826,147.0587,53.92,74,82,0.96,broken clouds
9,Hobart,AU,-42.8794,147.3294,54.27,80,75,4.61,broken clouds
10,East London,ZA,-33.0153,27.9116,76.05,74,0,12.53,clear sky
11,Lebu,CL,-37.6167,-73.65,61.38,72,0,21.88,clear sky
12,Taoudenni,ML,22.6783,-3.9836,67.51,14,0,10.56,clear sky
13,Axim,GH,4.8699,-2.2405,78.96,75,23,6.69,few clouds
14,Makakilo City,US,21.3469,-158.0858,75.18,85,75,6.91,broken clouds
15,Ahipara,NZ,-35.1667,173.1667,67.5,92,100,18.39,light rain
16,Kununurra,AU,-15.7667,128.7333,76.98,88,100,9.22,overcast clouds
17,Nizhniy Tsasuchey,RU,50.5167,115.1333,-17.43,98,16,3.15,few clouds
18,Ust-Tsilma,RU,65.441,52.1498,-7.56,100,98,2.24,overcast clouds
19,Sao Miguel,BR,-5.4667,-35.3667,83.17,71,96,13.06,overcast clouds
20,Leningradskiy,RU,69.3833,178.4167,-18.9,97,100,20.8,light snow
21,Luderitz,NA,-26.6481,15.1594,65.53,81,3,16.49,clear sky
22,Cape Town,ZA,-33.9258,18.4232,70.88,80,75,5.99,broken clouds
23,Lata,PT,40.1629,-8.3327,44.92,84,26,2.84,scattered clouds
24,Ribeira Grande,PT,38.5167,-28.7,62.78,77,100,21.99,overcast clouds
25,Georgetown,MY,5.4112,100.3354,79.95,89,20,2.3,few clouds
26,Rize,TR,40.9044,40.8949,36.59,52,0,5.26,clear sky
27,Yerbogachen,RU,61.2767,108.0108,-19.17,100,98,3.38,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,55.42,54,75,28.77,broken clouds
29,Barrow,US,71.2906,-156.7887,5.02,85,100,17.27,mist
30,Ponta Do Sol,PT,32.6667,-17.1,65.03,59,52,9.13,broken clouds
31,Ilulissat,GL,69.2167,-51.1,-16.85,69,18,9.1,few clouds
32,Pevek,RU,69.7008,170.3133,-36.83,100,100,3.6,overcast clouds
33,Carnarvon,AU,-24.8667,113.6333,78.24,78,50,9.78,scattered clouds
34,Mahebourg,MU,-20.4081,57.7,79.25,78,40,6.91,scattered clouds
35,Straumen,NO,63.8709,11.2999,15.8,96,89,3.78,overcast clouds
36,Mataura,NZ,-46.1927,168.8643,63.28,74,100,2.35,overcast clouds
37,Kruisfontein,ZA,-34.0033,24.7314,67.89,89,8,14.29,clear sky
38,Hilo,US,19.7297,-155.09,89.28,75,6,1.99,clear sky
39,Cidreira,BR,-30.1811,-50.2056,73.53,68,32,12.08,scattered clouds
40,Norman Wells,CA,65.282,-126.8329,-0.36,85,20,4.61,few clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,96,5.01,overcast clouds
42,Sivakasi,IN,9.45,77.8167,71.22,84,8,5.73,clear sky
43,Bluff,NZ,-46.6,168.3333,59.79,87,100,1.43,overcast clouds
44,Hereford,GB,52.0568,-2.7148,56.05,94,100,1.99,overcast clouds
45,Tiksi,RU,71.6872,128.8694,-11.58,98,100,6.17,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,49.62,71,40,24.16,scattered clouds
47,Weymouth,US,42.2209,-70.9398,51.4,92,100,8.05,moderate rain
48,Dikson,RU,73.5069,80.5464,-26.55,98,25,10.45,scattered clouds
49,Gat,IL,31.61,34.7642,58.08,100,99,2.26,overcast clouds
50,Tommot,RU,58.9564,126.2925,-6.32,97,99,1.21,overcast clouds
51,Hami,CN,42.8,93.45,20.05,49,6,6.33,clear sky
52,Chuy,UY,-33.6971,-53.4616,76.05,41,45,15.14,scattered clouds
53,Pangody,RU,65.85,74.4859,7.61,95,100,13.2,light snow
54,Riyadh,SA,24.6877,46.7219,57.34,90,100,11.68,light rain
55,Jiuquan,CN,39.7432,98.5174,12.99,73,5,4.7,clear sky
56,Hobyo,SO,5.3505,48.5268,77.2,78,5,21.41,clear sky
57,Grand Gaube,MU,-20.0064,57.6608,79.38,70,48,5.01,scattered clouds
58,Araouane,ML,18.9048,-3.5265,65.08,17,0,10.11,clear sky
59,Port Alfred,ZA,-33.5906,26.891,75.18,69,41,5.99,scattered clouds
60,Sigiriya,LK,7.9518,80.7426,66.61,92,86,2.37,overcast clouds
61,Fushan,CN,37.4958,121.2581,29.77,56,0,2.55,clear sky
62,Kavieng,PG,-2.5744,150.7967,79.9,85,100,12.91,heavy intensity rain
63,Elmira,US,42.0898,-76.8077,50.77,96,100,0.0,light rain
64,Turukhansk,RU,65.8167,87.9833,-24.12,94,81,7.29,broken clouds
65,Hofn,IS,64.2539,-15.2082,35.62,69,0,12.66,clear sky
66,Gogrial,SS,8.5332,28.1004,78.96,31,46,3.38,scattered clouds
67,Vao,NC,-22.6667,167.4833,75.27,73,18,7.49,few clouds
68,Belyy Yar,RU,53.6039,91.3903,-14.91,84,100,2.24,fog
69,Taltal,CL,-25.4,-70.4833,70.0,67,24,6.42,few clouds
70,Lompoc,US,34.6391,-120.4579,63.84,80,100,3.0,overcast clouds
71,Sinnamary,GF,5.3833,-52.95,79.21,84,100,9.53,overcast clouds
72,Saskylakh,RU,71.9167,114.0833,-42.54,100,93,5.23,overcast clouds
73,Aklavik,CA,68.2191,-135.0107,-8.46,98,95,2.08,overcast clouds
74,Havoysund,NO,70.9963,24.6622,25.03,75,75,8.59,broken clouds
75,Albany,US,42.6001,-73.9662,39.94,92,100,2.28,light snow
76,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,61,0,20.71,clear sky
77,Severo-Kurilsk,RU,50.6789,156.125,15.22,57,82,6.31,broken clouds
78,Divnoye,RU,45.9089,43.3547,44.94,70,27,10.83,scattered clouds
79,Yellowknife,CA,62.456,-114.3525,5.56,85,100,10.36,light snow
80,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,88,75,15.7,broken clouds
81,Talaya,RU,61.3833,152.75,-31.86,98,97,1.19,overcast clouds
82,Tevaitoa,PF,-16.7833,-151.5,81.32,71,58,16.02,broken clouds
83,Butaritari,KI,3.0707,172.7902,79.66,79,100,12.64,light rain
84,Bajil,YE,15.0584,43.2851,77.07,72,18,8.01,few clouds
85,Bethel,US,41.3712,-73.414,49.01,88,100,1.01,mist
86,Maxixe,MZ,-23.8597,35.3472,75.02,94,40,3.44,scattered clouds
87,Dingle,PH,10.9995,122.6711,75.13,95,100,13.35,light rain
88,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,6.91,scattered clouds
89,Khatanga,RU,71.9667,102.5,-26.84,99,100,1.7,overcast clouds
90,Alofi,NU,-19.0595,-169.9187,80.49,74,100,6.91,light rain
91,Antofagasta,CL,-23.65,-70.4,69.08,70,6,9.42,clear sky
92,Gamba,GA,-2.65,10.0,77.27,84,100,2.91,overcast clouds
93,Avarua,CK,-21.2078,-159.775,77.05,83,75,6.91,broken clouds
94,Kapaa,US,22.0752,-159.319,75.18,83,0,4.61,clear sky
95,Tura,IN,25.5198,90.2201,54.66,68,0,3.62,clear sky
96,Vallenar,CL,-28.5708,-70.7581,85.95,27,0,11.56,clear sky
97,Isangel,VU,-19.55,169.2667,81.63,71,96,8.52,overcast clouds
98,Anadyr,RU,64.75,177.4833,-21.5,76,40,15.66,scattered clouds
99,Istisu,AZ,40.9457,48.0738,25.47,36,4,4.29,clear sky
100,Atuona,PF,-9.8,-139.0333,78.49,77,10,21.83,clear sky
101,Necochea,AR,-38.5473,-58.7368,71.51,45,0,11.99,clear sky
102,Sauda,NO,59.6506,6.3542,31.53,86,100,7.38,light snow
103,Busselton,AU,-33.65,115.3333,59.5,77,9,15.46,clear sky
104,Taldan,RU,53.6667,124.8,-11.49,93,90,5.03,overcast clouds
105,Thompson,CA,55.7435,-97.8558,10.56,92,100,6.91,light snow
106,Sydney,AU,-33.8679,151.2073,70.9,88,40,5.75,scattered clouds
107,Samarai,PG,-10.6167,150.6667,81.1,77,100,10.36,overcast clouds
108,Thinadhoo,MV,0.5333,72.9333,80.17,74,29,10.63,scattered clouds
109,Hermanus,ZA,-34.4187,19.2345,63.81,90,83,9.24,light rain
110,Qaqortoq,GL,60.7167,-46.0333,-3.6,66,17,6.8,few clouds
111,Kegums,LV,56.7451,24.7244,34.47,96,100,11.12,light snow
112,Bredasdorp,ZA,-34.5322,20.0403,69.28,80,78,13.44,broken clouds
113,Lagoa,PT,39.05,-27.9833,60.22,80,100,17.87,light rain
114,Ostrovnoy,RU,68.0531,39.5131,24.51,89,100,28.16,light snow
115,Upernavik,GL,72.7868,-56.1549,-16.13,66,1,6.87,clear sky
116,Conceicao Do Araguaia,BR,-8.2578,-49.2647,83.35,71,73,4.5,broken clouds
117,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,73,20,12.66,few clouds
118,Koumac,NC,-20.5667,164.2833,76.48,71,12,3.31,few clouds
119,Port Blair,IN,11.6667,92.75,80.64,74,75,4.61,mist
120,Amapa,BR,1.0,-52.0,77.29,96,95,3.31,heavy intensity rain
121,Cabedelo,BR,-6.9811,-34.8339,83.07,75,71,10.4,broken clouds
122,Hithadhoo,MV,-0.6,73.0833,80.35,73,34,10.02,scattered clouds
123,Tilichiki,RU,60.4667,166.1,-19.93,93,5,10.58,clear sky
124,Pisco,PE,-13.7,-76.2167,71.02,83,73,6.91,mist
125,Ulladulla,AU,-35.35,150.4667,63.61,94,100,7.07,overcast clouds
126,Kattivakkam,IN,13.2167,80.3167,78.89,76,30,9.62,scattered clouds
127,Saint-Augustin,CA,51.226,-58.6502,15.46,84,18,7.0,few clouds
128,Vanavara,RU,60.34,102.2797,-23.94,100,100,1.1,overcast clouds
129,Baghdad,IQ,33.3406,44.4009,46.31,87,0,4.61,clear sky
130,Upleta,IN,21.7333,70.2833,63.21,36,0,10.18,clear sky
131,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,83,78,9.84,broken clouds
132,Longyearbyen,SJ,78.2186,15.6401,31.84,64,75,17.27,broken clouds
133,Labuhan,ID,-6.8844,112.2051,76.42,87,100,12.24,light rain
134,Kautokeino,NO,69.0125,23.0412,11.28,97,100,1.25,light snow
135,Udachnyy,RU,66.4167,112.4,-22.56,74,100,6.15,overcast clouds
136,Souillac,MU,-20.5167,57.5167,79.18,78,40,6.91,scattered clouds
137,Baturaja,ID,-4.1333,104.1667,72.34,98,100,2.06,overcast clouds
138,Castro,BR,-24.7911,-50.0119,71.29,88,40,7.83,scattered clouds
139,Kiunga,PG,-6.1219,141.2906,73.13,98,99,0.87,overcast clouds
140,Jardim,BR,-21.4803,-56.1381,77.18,91,100,7.74,overcast clouds
141,Huarmey,PE,-10.0681,-78.1522,74.1,73,100,9.6,overcast clouds
142,Buala,SB,-8.145,159.5921,80.11,83,100,10.16,light rain
143,Camacha,PT,33.0833,-16.3333,60.22,63,75,12.66,broken clouds
144,Jiazi,CN,22.8779,116.067,57.56,83,47,16.4,scattered clouds
